SMILES,Name,ID,Source,HeavyAtomCount,MolWt,MolLogP,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,TPSA
Cc1cc(-c2csc(N=C(N)N)n2)cn1C,CHEMBL153534,CHEMBL153534,ChEMBL,16,235.316,1.362,4,5,4,2,2,2,82.220
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,CHEMBL405398,CHEMBL405398,ChEMBL,27,429.322,3.275,2,7,7,2,6,3,75.200
COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,CHEMBL503634,CHEMBL503634,ChEMBL,21,289.287,2.128,5,6,6,5,4,2,114.000
CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,CHEMBL503643,CHEMBL503643,ChEMBL,17,233.223,2.043,2,5,3,2,3,2,79.390
C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c1cccc(O)c1,CHEMBL403325,CHEMBL403325,ChEMBL,32,438.568,3.584,3,6,4,3,9,2,89.870
O=C(NO)c1ccc(I)cc1,CHEMBL155287,CHEMBL155287,ChEMBL,11,263.034,1.410,2,3,2,2,1,1,49.330
C=CCc1ccc(OC(=O)C23CC4CC(CC(C4)C2)C3)c(OC)c1,CHEMBL265174,CHEMBL265174,ChEMBL,24,326.436,4.546,0,3,3,0,5,1,35.530
Cc1cccc(N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2)c1,CHEMBL264472,CHEMBL264472,ChEMBL,28,379.460,2.735,0,6,5,0,6,2,53.090
N=c1sc2ccccc2n1CCN1CCC(c2ccc(F)cc2)CC1,CHEMBL405225,CHEMBL405225,ChEMBL,25,355.482,4.201,1,3,4,1,4,3,32.020
CCCCCCCCCCCCCC(=O)NCc1ccc(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)cc1,CHEMBL409812,CHEMBL409812,ChEMBL,34,474.686,6.233,3,6,3,3,19,1,95.500
O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,CHEMBL499520,CHEMBL499520,ChEMBL,29,438.546,3.757,1,6,6,1,7,2,85.360
Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,CHEMBL1082532,CHEMBL1082532,ChEMBL,26,369.804,4.526,4,5,5,4,4,3,93.280
O=S(=O)(CCO)c1no[n+]([O-])c1-c1ccccc1,CHEMBL501101,CHEMBL501101,ChEMBL,18,270.266,-0.259,1,7,6,1,4,2,107.340
CNc1nc2sc(SC)nc2c2c1ncn2C,CHEMBL505943,CHEMBL505943,ChEMBL,17,265.367,2.342,1,5,7,1,2,3,55.630
CCCC1(C)CC(=O)N(CCCCN2CCN(c3nsc4ccccc34)CC2)C(=O)C1,CHEMBL1203224,CHEMBL1203224,ChEMBL,31,442.629,4.154,0,6,6,0,8,2,56.750
CCCCCC(O)/C=C/[C@H]1[C@H]2C[C@H](OC(=O)O2)[C@@H]1C/C=CCCCC(N)=O,CHEMBL441620,CHEMBL441620,ChEMBL,27,379.497,3.626,3,6,5,2,12,0,98.850
CC(C)=CCC/C(C)=C/C=C/C(=O)N1CCCC1,CHEMBL444987,CHEMBL444987,ChEMBL,18,247.382,3.858,0,2,1,0,5,0,20.310
CNC(=O)c1cc(C(O)CNC(C)CCc2ccc3c(c2)OCO3)ccc1O,CHEMBL1203109,CHEMBL1203109,ChEMBL,28,386.448,2.125,4,7,6,4,8,2,100.050
COc1ccccc1N1CCN(CCCNC(=O)c2ccccc2I)CC1,CHEMBL263058,CHEMBL263058,ChEMBL,27,479.362,3.242,1,5,4,1,7,2,44.810
Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2O)ccc1Sc1nc2ccccc2s1,CHEMBL263810,CHEMBL263810,ChEMBL,29,461.395,7.021,2,4,5,2,4,4,62.220
CN(C/C=C/c1ccc(C#N)cc1)Cc1ccc2c(c1)CCO2,CHEMBL4116085,CHEMBL4116085,ChEMBL,23,304.393,3.638,0,3,3,0,5,2,36.260
COc1ccc(CNc2nnc(N3CCC(O)CC3)c3ccc(C#N)cc23)cc1Cl,CHEMBL266960,CHEMBL266960,ChEMBL,30,423.904,3.737,2,7,7,2,5,3,94.300
Cc1cccc(NC(=S)Nc2ccc3c(c2)C(=O)OC3)c1,CHEMBL443992,CHEMBL443992,ChEMBL,21,298.367,3.474,2,4,3,2,2,2,50.360
C=CCn1cc(C[C@@H]2NC(=O)[C@@H]3CCCN3C2=O)c2ccc(OC)cc21,CHEMBL409297,CHEMBL409297,ChEMBL,26,353.422,1.868,1,6,4,1,5,2,63.570
Cc1ccc(Oc2nc3ccccc3nc2N2CCN(C)CC2)cc1,CHEMBL405416,CHEMBL405416,ChEMBL,25,334.423,3.482,0,5,5,0,3,3,41.490
O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,CHEMBL405667,CHEMBL405667,ChEMBL,27,349.433,5.981,1,2,1,1,2,4,29.100
CC(=O)NC(C(=O)N1CCSCC1)[C@H]1CC(C(=O)O)C[C@@H]1N=C(N)N,CHEMBL411601,CHEMBL411601,ChEMBL,25,371.463,-1.181,6,9,5,4,5,0,151.110
CCCc1cnnn1-c1c(Cl)cc(C(F)(F)F)cc1Cl,CHEMBL441131,CHEMBL441131,ChEMBL,20,324.133,4.545,0,3,3,0,3,2,30.710
O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,CHEMBL155374,CHEMBL155374,ChEMBL,17,273.657,1.475,2,7,6,2,2,2,105.320
CCc1c(C)[nH]c2c1/C(=N/OC(=O)NCCc1cccnc1)CCC2,CHEMBL217730,CHEMBL217730,ChEMBL,25,340.427,3.290,2,6,4,2,5,2,79.370
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCc1ccccn1)CC2,CHEMBL262664,CHEMBL262664,ChEMBL,29,397.519,2.591,0,6,5,0,9,2,54.900
CCC(C)CNc1nc(C#N)nc2c1NCN2Cc1ccccc1,CHEMBL500021,CHEMBL500021,ChEMBL,24,322.416,3.196,2,6,6,2,6,2,76.870
CCOC(=O)COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2,CHEMBL265024,CHEMBL265024,ChEMBL,26,366.458,2.141,2,7,5,2,8,0,93.730
CCCN1c2cc(C)nc3c(-c4ccc(Cl)cc4Cl)nn(c23)C[C@@H]1CC,CHEMBL265282,CHEMBL265282,ChEMBL,26,389.330,5.722,0,4,4,0,4,3,33.950
N=C(N)NC(=O)OCc1cccc(N2CCC(Oc3cccnc3)CC2)c1F,CHEMBL4116102,CHEMBL4116102,ChEMBL,28,387.415,2.388,4,8,6,3,5,2,113.560
