# "Abundance of chemical elements in earth's,          continental) crust, by mass "
# https://en.wikipedia.org/wiki/Abundance_of_elements_in_earth%27s_crust
#
number,      name,        "symbol",     "Goldschmidt", "Abundance (ppm)",        percent,    "extraction (tonnes/yr)"
8,           oxygen,          O,          Lithophile,           461000,          46.1,          10335000
14,          silicon,         Si,         Lithophile,           282000,          28.2,           7200000
13,          aluminium,       Al,         Lithophile,           82300,           8.23,          57600000
26,          iron,            Fe,         Siderophile,          56300,           5.63,        1150000000
20,          calcium,         Ca,         Lithophile,           41500,           4.15,             18000
11,          sodium,          Na,         Lithophile,           23600,           2.36,         255000000
12,          magnesium,       Mg,         Lithophile,           23300,           2.33,          27700000
19,          potassium,       K,          Lithophile,           20900,           2.09,          53200000
22,          titanium,        Ti,         Lithophile,           5650,            0.565,          6600000
1,           hydrogen,        H,          Atmophile,            1400,            0.14,          75000000
15,          phosphorus,      P,          Lithophile,           1050,            0.105,        226000000
25,          manganese,       Mn,         Lithophile,           950,             0.095,         16000000
9,           fluorine,        F,          Lithophile,           585,             0.0585,           17000
56,          barium,          Ba,         Lithophile,           425,             0.0425,         6000000
38,          strontium,       Sr,         Lithophile,           370,             0.037,           350000
16,          sulfur,          S,          Chalcophile,          350,             0.035,         69300000
6,           carbon,          C,          Atmophile,            200,             0.02,        9700000000
40,          zirconium,       Zr,         Lithophile,           165,             0.0165,         1460000
17,          chlorine,        Cl,         Lithophile,           145,             0.0145,        71250000
23,          vanadium,        V,          Lithophile,           120,             0.012,            76000
24,          chromium,        Cr,         Lithophile,           102,             0.0102,        26000000
37,          rubidium,        Rb,         Lithophile,           90,              0.009,                2
28,          nickel,          Ni,         Siderophile,          84,              0.0084,         2250000
30,          zinc,            Zn,         Chalcophile,          70,              0.007,         11900000
58,          cerium,          Ce,         Lithophile,           66.5,            0.00665,          24000
29,          copper,          Cu,         Chalcophile,          60,              0.006,         19400000
60,          neodymium,       Nd,         Lithophile,           41.5,            0.00415,           7000
57,          lanthanum,       La,         Lithophile,           39,              0.0039,           12500
39,          yttrium,         Y,          Lithophile,           33,              0.0033,            6000
27,          cobalt,          Co,         Siderophile,          25,              0.0025,          123000
21,          scandium,        Sc,         Lithophile,           22,              0.0022,              14
3,           lithium,         Li,         Lithophile,           20,              0.002,            35000
41,          niobium,         Nb,         Lithophile,           20,              0.002,            64000
7,           nitrogen,        N,          Atmophile,            19,              0.0019,       140000000
31,          gallium,         Ga,         Chalcophile,          19,              0.0019,             315
82,          lead,            Pb,         Chalcophile,          14,              0.0014,         4820000
5,           boron,           B,          Lithophile,           10,              0.001,          9400000
90,          thorium,         Th,         Lithophile,           9.6,             0.00096,           5000
59,          praseodymium,    Pr,         Lithophile,           9.2,             0.00092,           2500
62,          samarium,        Sm,         Lithophile,           7.05,            0.000705,           700
64,          gadolinium,      Gd,         Lithophile,           6.2,             0.00062,            400
66,          dysprosium,      Dy,         Lithophile,           5.2,             0.00052,            0.2
68,          erbium,          Er,         Lithophile,           3.5,             0.00035,            500
18,          argon,           Ar,         Atmophile,            3.5,             0.00035,               
70,          ytterbium,       Yb,         Lithophile,           3.2,             0.00032,               
72,          hafnium,         Hf,         Lithophile,           3.0,             0.0003,              3
55,          caesium,         Cs,         Lithophile,           3.0,             0.0003,                
4,           beryllium,       Be,         Lithophile,           2.8,             0.00028,            220
92,          uranium,         U,          Lithophile,           2.7,             0.00027,          74119
35,          bromine,         Br,         Lithophile,           2.4,             0.00024,         391000
50,          tin,             Sn,         Chalcophile,          2.3,             0.00023,         280000
73,          tantalum,        Ta,         Lithophile,           2.0,             0.0002,            1100
63,          europium,        Eu,         Lithophile,           2.0,             0.0002,            35.
33,          arsenic,         As,         Chalcophile,          1.8,             0.00018,          36500
32,          germanium,       Ge,         Chalcophile,          1.5,             0.00015,            155
67,          holmium,         Ho,         Lithophile,           1.3,             0.00013,               
74,          tungsten,        W,          Siderophile,          1.25,            0.000125,         86400
