# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# C1 — Crust: CRC Handbook - should be same numbers as the CRC data set that I made.
# C2 — Crust: Kaye and Laby
# C3 — Crust: Greenwood
# C4 — Crust: Ahrens (Taylor)
# C5 — Crust: Ahrens (Wänke)
# C6 — Crust: Ahrens (Weaver)
# U1 — Upper crust: Ahrens (Taylor)
# U2 — Upper crust: Ahrens (Shaw)
# Units are Kg element per Kg crust
#
#
number, symbol, name,          C1,                C2,                C3,           C4,           C5,           C6,           U1,           U2
01,     H,    hydrogen,         1.40E-3,           ,                 1.520E-3,     ,             ,             ,             ,           
02,     He,   helium,           8E-9,              ,                 ,             ,             ,             ,             ,           
03,     Li,   lithium,          2.0E-5,            2.0E-5,           1.8E-5,       1.3E-5,       1.37E-5,      ,             2.0E-5,       2.2E-5
04,     Be,   beryllium,        2.8E-6,            2.0E-6,           2E-6,         1.500E-6,     ,             ,             3.000E-6,           
05,     B,    boron,            1.0E-5,            7.0E-6,           9E-6,         1.0000E-5,    ,             ,             1.5000E-5,           
06,     C,    carbon,           2.00E-4,           ,                 1.80E-4,      ,             3.76E-3,      ,             ,           
07,     N,    nitrogen,         1.9E-5,            2.0E-5,           1.9E-5,       ,             ,             ,             ,           
08,     O,    oxygen,           4.61E-1,           3.7E-1,           4.55000E-1,   ,             ,             ,             ,           
09,     F,    fluorine,         5.85E-4,           4.6E-4,           5.44E-4,      ,             5.25E-4,      ,             ,           
10,     Ne,   neon,             5E-9,              ,                 ,             ,             ,             ,             ,           
11,     Na,   sodium,           2.36E-2,           2.3E-2,           2.2700E-2,    2.3000E-2,    2.4400E-2,    3.1000E-2,    2.89E-2,      2.57E-2
12,     Mg,   magnesium,        2.33E-2,           2.8E-2,           2.7640E-2,    3.20E-2,      2.37E-2,      1.69E-2,      1.33E-2,      1.35E-2
13,     Al,   aluminium,        8.23E-2,           8.0E-2,           8.3000E-2,    8.4100E-2,    8.3050E-2,    8.5200E-2,    8.0400E-2,    7.7400E-2
14,     Si,   silicon,          2.82E-1,           2.7E-1,           2.72000E-1,   2.677E-1,     2.81E-1,      2.95E-1,      3.08E-1,      3.04E-1
15,     P,    phosphorus,       1.05E-3,           1.0E-3,           1.120E-3,     ,             7.63E-4,      8.30E-4,      ,      
16,     S,    sulfur,           3.50E-4,           3.0E-4,           3.40E-4,      ,             8.81E-4,      ,             ,      
17,     Cl,   chlorine,         1.45E-4,           1.9E-4,           1.26E-4,      ,             1.900E-3,     ,             ,      
18,     Ar,   argon,            3.5E-6,            ,                 ,             ,             ,             ,             ,      
19,     K,    potassium,        2.09E-2,           1.7E-2,           1.8400E-2,    9.100E-3,     1.7600E-2,    1.7000E-2,    2.8000E-2,    2.5700E-2
20,     Ca,   calcium,          4.15E-2,           5.1E-2,           4.6600E-2,    5.2900E-2,    4.9200E-2,    3.4000E-2,    3.0000E-2,    2.9500E-2
21,     Sc,   scandium,         2.2E-5,            2.2E-5,           2.5E-5,       3.0E-5,       2.14E-5,      ,             1.1E-5,       7E-6
22,     Ti,   titanium,         5.65E-3,           8.6E-3,           6.320E-3,     5.400E-3,     5.250E-3,     3.600E-3,     3.000E-3,     3.120E-3
23,     V,    vanadium,         1.20E-4,           1.7E-4,           1.36E-4,      2.30E-4,      1.34E-4,      ,             6.0E-5,       5.3E-5
24,     Cr,   chromium,         1.02E-4,           9.6E-5,           1.22E-4,      1.85E-4,      1.46E-4,      5.6E-5,       3.5E-5,       3.5E-5
25,     Mn,   manganese,        9.50E-4,           1.0E-3,           1.060E-3,     1.400E-3,     8.47E-4,      1.000E-3,     6.00E-4,      5.27E-4
26,     Fe,   iron,             5.63E-2,           5.8E-2,           6.2000E-2,    7.07E-2,      4.92E-2,      3.8E-2,       3.50E-2,      3.09E-2
27,     Co,   cobalt,           2.5E-5,            2.8E-5,           2.9E-5,       2.9E-5,       2.54E-5,      ,             1.0E-5,       1.2E-5
