# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# W1 — CRC Handbook
# W2 — Kaye & Laby "less than" mean the number is below that limit of detection.
# Units are kg/L of element in water
#
#
number, symbol, name,          W1,           W2
1,      H,      hydrogen,      1.08×10−1,    1.1×10−1,
2,      He,     helium,        7×10−12,      7.2×10−12,
3,      Li,     lithium,       1.8×10−7,     1.7×10−7,
4,      Be,     beryllium,     5.6×10−12,    6×10−13,
5,      B,      boron,         4.44×10−6,    4.4×10−6,
6,      C,      carbon,        2.8×10−5,     2.8×10−5,
7,      N,      nitrogen,      5×10−7,       1.6×10−5,
8,      O,      oxygen,        8.57×10−1,    8.8×10−1,
9,      F,      fluorine,      1.3×10−6,     1.3×10−6,
10,     Ne,     neon,          1.2×10−10,    1.2×10−10,
11,     Na,     sodium,        1.08×10−2,    1.1×10−2,
12,     Mg,     magnesium,     1.29×10−3,    1.3×10−3,
13,     Al,     aluminium,     2×10−9,       1×10−9,
14,     Si,     silicon,       2.2×10−6,     2.9×10−6,
15,     P,      phosphorus,    6×10−8,       8.8×10−8,
16,     S,      sulfur,        9.05×10−4,    9.0×10−4,
17,     Cl,     chlorine,      1.94×10−2,    1.9×10−2,
18,     Ar,     argon,         4.5×10−7,     4.5×10−7,
19,     K,      potassium,     3.99×10−4,    3.9×10−4,
20,     Ca,     calcium,       4.12×10−4,    4.1×10−4,
21,     Sc,     scandium,      6×10−13,      4×10−12, "less than"
22,     Ti,     titanium,      1×10−9,       1×10−9,
23,     V,      vanadium,      2.5×10−9,     1.9×10−9,
24,     Cr,     chromium,      3×10−10,      2×10−10,
25,     Mn,     manganese,     2×10−10,      1.9×10−9,
26,     Fe,     iron,          2×10−9,       3.4×10−9,
27,     Co,     cobalt,        2×10−11,      3.9×10−10,
28,     Ni,     nickel,        5.6×10−10,    6.6×10−9,
29,     Cu,     copper,        2.5×10−10,    2.3×10−8,
30,     Zn,     zinc,          4.9×10−9,     1.1×10−8,
31,     Ga,     gallium,       3×10−11,      3×10−11,
32,     Ge,     germanium,     5×10−11,      6×10−11,
33,     As,     arsenic,       3.7×10−9,     2.6×10−9,
34,     Se,     selenium,      2×10−10,      9.0×10−11,
35,     Br,     bromine,       6.73×10−5,    6.7×10−5,
36,     Kr,     krypton,       2.1×10−10,    2.1×10−10,
37,     Rb,     rubidium,      1.2×10−7,     1.2×10−7,
38,     Sr,     strontium,     7.9×10−6,     8.1×10−6,
39,     Y,      yttrium,       1.3×10−11,    1.3×10−12,
40,     Zr,     zirconium,     3×10−11,      2.6×10−11,
41,     Nb,     niobium,       1×10−11,      1.5×10−11,
42,     Mo,     molybdenum,    1×10−8,       1.0×10−8,
43,     Tc,     technetium,     ,            ,
44,     Ru,     ruthenium,     7×10−13,      ,
45,     Rh,     rhodium,       ,             ,
46,     Pd,     palladium,     ,             ,
47,     Ag,     silver,        4×10−11,      2.8×10−10,
48,     Cd,     cadmium,       1.1×10−10,    1.1×10−10,
49,     In,     indium,        2×10−8,       ,
50,     Sn,     tin,           4×10−12,      8.1×10−10,
51,     Sb,     antimony,      2.4×10−10,    3.3×10−10,
52,     Te,     tellurium,     ,             ,
53,     I,      iodine,        6×10−8,       6.4×10−8,
54,     Xe,     xenon,         5×10−11,      4.7×10−11,
55,     Cs,     caesium,       3×10−10,      3.0×10−10,
56,     Ba,     barium,        1.3×10−8,     2.1×10−8,
57,     La,     lanthanum,     3.4×10−12,    3.4×10−12,
58,     Ce,     cerium,        1.2×10−12,    1.2×10−12,
59,     Pr,     praseodymium,  6.4×10−13,    6.4×10−13,
60,     Nd,     neodymium,     2.8×10−12,    2.8×10−12,
61,     Pm,     promethium,     ,            ,
62,     Sm,     samarium,      4.5×10−13,    4.5×10−13,
63,     Eu,     europium,      1.3×10−13,    1.3×10−13,
64,     Gd,     gadolinium,    7×10−13,      7.0×10−13,
65,     Tb,     terbium,       1.4×10−13,    1.4×10−12,
66,     Dy,     dysprosium,    9.1×10−13,    9.1×10−13,
67,     Ho,     holmium,       2.2×10−13,    2.2×10−13,
68,     Er,     erbium,        8.7×10−13,    8.7×10−12,
69,     Tm,     thulium,       1.7×10−13,    1.7×10−13,
70,     Yb,     ytterbium,     8.2×10−13,    8.2×10−13,
71,     Lu,     lutetium,      1.5×10−13,    1.5×10−13,
72,     Hf,     hafnium,       7×10−12,      8×10−12, "less than"
73,     Ta,     tantalum,      2×10−12,      2.5×10−12, "less than"
74,     W,      tungsten,      1×10−10,      1×10−12, "less than"
75,     Re,     rhenium,       4×10−12,      ,
76,     Os,     osmium,        ,             ,
77,     Ir,     iridium,       ,             , 
78,     Pt,     platinum,      ,             ,
79,     Au,     gold,          4×10−12,      1.1×10−11,
80,     Hg,     mercury,       3×10−11,      1.5×10−10,
81,     Tl,     thallium,      1.9×10−11,    ,
