# Electronegativities
# data from tables collected on Wikipedia at https://en.wikipedia.org/wiki/Electronegativities_of_the_elements_(data_page)
# pauling values and Allen values 
#
number,  symbol,  name,        pauling,  allen
1,       H,       hydrogen,    2.20,     2.3
2,       He,      helium,      ,         4.16
3,       Li,      lithium,     0.98,     0.912
4,       Be,      beryllium,   1.57,     1.576
5,       B,       boron,       2.04,     2.051
6,       C,       carbon,      2.55,     2.544
7,       N,       nitrogen,    3.04,     3.066
8,       O,       oxygen,      3.44,     3.61
9,       F,       fluorine,    3.98,     4.193
10,      Ne,      neon,        ,         4.787
11,      Na,      sodium,      0.93,     0.869
12,      Mg,      magnesium,   1.31,     1.293
13,      Al,      aluminium,   1.61,     1.613
14,      Si,      silicon,     1.9,      1.916
15,      P,       phosphorus,  2.19,     2.253
16,      S,       sulfur,      2.58,     2.589
17,      Cl,      chlorine,    3.16,     2.869
18,      Ar,      argon,       ,         3.242
19,      K,       potassium,   0.82,     0.734
20,      Ca,      calcium,     1,        1.034
21,      Sc,      scandium,    1.36,     1.19
22,      Ti,      titanium,    1.54,     1.38
23,      V,       vanadium,    1.63,     1.53
24,      Cr,      chromium,    1.66,     1.65
25,      Mn,      manganese,   1.55,     1.75
26,      Fe,      iron,        1.83,     1.8
27,      Co,      cobalt,      1.88,     1.84
28,      Ni,      nickel,      1.91,     1.88
29,      Cu,      copper,      1.9,      1.85
30,      Zn,      zinc,        1.65,     1.588
31,      Ga,      gallium,     1.81,     1.756
32,      Ge,      germanium,   2.01,     1.994
33,      As,      arsenic,     2.18,     2.211
34,      Se,      selenium,    2.55,     2.424
35,      Br,      bromine,     2.96,     2.685
36,      Kr,      krypton,     3,        2.966
37,      Rb,      rubidium,    0.82,     0.706
38,      Sr,      strontium,   0.95,     0.963
39,      Y,       yttrium,     1.22,     1.12
40,      Zr,      zirconium,   1.33,     1.32
41,      Nb,      niobium,     1.6,      1.41
42,      Mo,      molybdenum,  2.16,     1.47
43,      Tc,      technetium,  1.9,      1.51
44,      Ru,      ruthenium,   2.2,      1.54
45,      Rh,      rhodium,     2.28,     1.56
46,      Pd,      palladium,   2.2,      1.58
47,      Ag,      silver,      1.93,     1.87
48,      Cd,      cadmium,     1.69,     1.521
49,      In,      indium,      1.78,     1.656
50,      Sn,      tin,         1.96,     1.824
51,      Sb,      antimony,    2.05,     1.984
52,      Te,      tellurium,   2.1,      2.158
53,      I,       iodine,      2.66,     2.359
54,      Xe,      xenon,       2.6,      2.582
55,      Cs,      caesium,     0.79,     0.659
56,      Ba,      barium,      0.89,     0.881
57,      La,      lanthanum,   1.1,
58,      Ce,      cerium,      1.12,
59,      Pr,      praseodymium,1.13,
60,      Nd,      neodymium,   1.14,
61,      Pm,      promethium,  1.1,
62,      Sm,      samarium,    1.17,
63,      Eu,      europium,    1.1,
64,      Gd,      gadolinium,  1.2,
65,      Tb,      terbium,     1.1,
66,      Dy,      dysprosium,  1.22,
67,      Ho,      holmium,     1.23,
68,      Er,      erbium,      1.24,
69,      Tm,      thulium,     1.25,
70,      Yb,      ytterbium,   1.1,
71,      Lu,      lutetium,    1.27,     1.09
72,      Hf,      hafnium,     1.3,      1.16
73,      Ta,      tantalum,    1.5,      1.34
74,      W,       tungsten,    2.36,     1.47
75,      Re,      rhenium,     1.9,      1.6
76,      Os,      osmium,      2.2,      1.65
77,      Ir,      iridium,     2.2,      1.68
78,      Pt,      platinum,    2.28,     1.72
79,      Au,      gold,        2.54,     1.92
80,      Hg,      mercury,     2,        1.765
81,      Tl,      thallium,    1.62,     1.789
82,      Pb,      lead,        2.33,     1.854
83,      Bi,      bismuth,     2.02,     2.01
84,      Po,      polonium,    2,        2.19
85,      At,      astatine,    2.2,      2.39
86,      Rn,      radon,       ,         2.6
87,      Fr,      francium,    ,         0.67
88,      Ra,      radium,      0.9,      0.89
89,      Ac,      actinium,    1.1,
90,      Th,      thorium,     1.3,
91,      Pa,      protactinium,1.5,
92,      U,       uranium,     1.38,
93,      Np,      neptunium,   1.36,
94,      Pu,      plutonium,   1.28,
95,      Am,      americium,   1.3,
96,      Cm,      curium,      1.3,
97,      Bk,      berkelium,   1.3,
98,      Cf,      californium, 1.3,
99,      Es,      einsteinium, 1.3,
100,     Fm,      fermium,     1.3,
101,     Md,      mendelevium, 1.3,
102,     No,      nobelium,    1.3,
