Dihedral Angle (deg),Energy (kJ/mol)
0.0,16.260601185033092
10.0,15.714824446763807
20.0,14.423361487283708
30.0,13.171080615404637
40.0,12.716783730148537
50.0,13.48281944919069
60.0,15.459624469801122
70.0,18.28240383314653
80.0,21.363495872919213
90.0,23.983981290435242
100.0,25.34040680465236
110.0,24.677651880299866
120.0,21.717684401941753
130.0,17.053769114203632
140.0,11.810889302879778
150.0,6.966750655858516
160.0,3.184323955382581
170.0,0.8077159647494654
180.0,0.0
190.0,0.8079100101367586
200.0,3.1845177514606737
210.0,6.967115453423045
220.0,11.804483140826225
230.0,17.053758980430114
240.0,21.71765679660037
250.0,24.6776767021238
260.0,25.34033509859537
270.0,23.984685041580104
280.0,21.363402640083592
290.0,18.282341261984598
300.0,15.459580581606502
310.0,13.482727456334409
320.0,12.716674746284482
330.0,13.170949591293944
340.0,14.423366811128334
350.0,15.714800354062945
360.0,16.260602001164408
