Number,Dihedral Angle (deg),Energy (kJ/mol),Energy (Ha),zmatrix,xyz
0,0,16.26060242851963,-154.91329525980711,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3222961565
    C                 2    1.4797177213      1  127.1929742778
    C                 3    1.3222961565      2  127.1929742778      1    0.0001763191
    H                 1    1.0747925357      2  120.9511815011      3  179.9790588788
    H                 1    1.0754613888      2  122.7677834377      3    0.0154312793
    H                 2    1.0775973665      1  118.0507925241      3 -179.9975817668
    H                 3    1.0775973665      4  118.0507925241      2 -179.9975817668
    H                 4    1.0747925357      3  120.9511815011      2  179.9790588788
    H                 4    1.0754613888      3  122.7677834377      2    0.0154312793

","0 1
 C    1.539188789021    0.000001620758   -0.510203854829
 C    0.739858860659    0.000000000000    0.543142617629
 C   -0.739858860659    0.000000000000    0.543142617629
 C   -1.539188789021   -0.000001620758   -0.510203854829
 H    2.607609822155    0.000338332142   -0.393347629769
 H    1.170667273917    0.000246733992   -1.520554799585
 H    1.191111951036    0.000038632894    1.521706223704
 H   -1.191111951036   -0.000038632894    1.521706223704
 H   -2.607609822155   -0.000338332142   -0.393347629769
 H   -1.170667273917   -0.000246733992   -1.520554799585
"
1,5,16.118152421806695,-154.91334951619024,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3222837163
    C                 2    1.4795979425      1  127.1360491954
    C                 3    1.3222837163      2  127.1360491954      1    5.0000000000
    H                 1    1.0747972759      2  120.9631488343      3 -179.5762856990
    H                 1    1.0754789447      2  122.7398497478      3    0.8183959753
    H                 2    1.0776284707      1  118.0776843376      3  179.7689475366
    H                 3    1.0776284707      4  118.0776843376      2  179.7689475366
    H                 4    1.0747972759      3  120.9631488343      2 -179.5762856990
    H                 4    1.0754789447      3  122.7398497478      2    0.8183959753

","0 1
 C    1.538074463574    0.045980513240   -0.510064318749
 C    0.739798971260    0.000000000000    0.543062576308
 C   -0.739798971260    0.000000000000    0.543062576308
 C   -1.538074463574   -0.045980513240   -0.510064318749
 H    2.606619903146    0.034130847072   -0.394914793223
 H    1.168124458195    0.102934463810   -1.518304469423
 H    1.191571819978   -0.046505621669    1.520314663092
 H   -1.191571819978    0.046505621669    1.520314663092
 H   -2.606619903146   -0.034130847072   -0.394914793223
 H   -1.168124458195   -0.102934463810   -1.518304469423
"
2,10,15.714823930609437,-154.91350313601552,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3222560044
    C                 2    1.4792818799      1  126.9758348174
    C                 3    1.3222560044      2  126.9758348174      1   10.0000000000
    H                 1    1.0748182608      2  120.9991443465      3 -179.1717557544
    H                 1    1.0755077116      2  122.6598669653      3    1.5104951867
    H                 2    1.0777131721      1  118.1518225021      3  179.5993160583
    H                 3    1.0777131721      4  118.1518225021      2  179.5993160583
    H                 4    1.0748182608      3  120.9991443465      2 -179.1717557544
    H                 4    1.0755077116      3  122.6598669653      2    1.5104951867

","0 1
 C    1.534949016151    0.092065759402   -0.509575942006
 C    0.739640939964    0.000000000000    0.542740503247
 C   -0.739640939964    0.000000000000    0.542740503247
 C   -1.534949016151   -0.092065759402   -0.509575942006
 H    2.603848028577    0.069049939399   -0.399305968662
 H    1.160936654462    0.203704409601   -1.511757763227
 H    1.192906300203   -0.091835292020    1.516178982884
 H   -1.192906300203    0.091835292020    1.516178982884
 H   -2.603848028577   -0.069049939399   -0.399305968662
 H   -1.160936654462   -0.203704409601   -1.511757763227
"
3,15,15.117857639902857,-154.91373050863928,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3222123616
    C                 2    1.4788439419      1  126.7349733926
    C                 3    1.3222123616      2  126.7349733926      1   15.0000000000
    H                 1    1.0748582823      2  121.0549613852      3 -178.8521274810
    H                 1    1.0755333930      2  122.5392930754      3    2.0211832925
    H                 2    1.0778367612      1  118.2625658407      3  179.5497639389
    H                 3    1.0778367612      4  118.2625658407      2  179.5497639389
    H                 4    1.0748582823      3  121.0549613852      2 -178.8521274810
    H                 4    1.0755333930      3  122.5392930754      2    2.0211832925

","0 1
 C    1.530256277369    0.138310139909   -0.508589587501
 C    0.739421970952    0.000000000000    0.541980226542
 C   -0.739421970952    0.000000000000    0.541980226542
 C   -1.530256277369   -0.138310139909   -0.508589587501
 H    2.599689087389    0.106150545804   -0.405635459774
 H    1.150082516419    0.301271152377   -1.501405632536
 H    1.194953933333   -0.134896058210    1.509464473675
 H   -1.194953933333    0.134896058210    1.509464473675
 H   -2.599689087389   -0.106150545804   -0.405635459774
 H   -1.150082516419   -0.301271152377   -1.501405632536
"
4,20,14.423361423408018,-154.91399502847798,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3221442969
    C                 2    1.4783663694      1  126.4426394680
    C                 3    1.3221442969      2  126.4426394680      1   20.0000000000
    H                 1    1.0749191044      2  121.1226118996      3 -178.6609386602
    H                 1    1.0755596598      2  122.3948424995      3    2.3212311163
    H                 2    1.0779877118      1  118.3985768954      3  179.6540223644
    H                 3    1.0779877118      4  118.3985768954      2  179.6540223644
    H                 4    1.0749191044      3  121.1226118996      2 -178.6609386602
    H                 4    1.0755596598      3  122.3948424995      2    2.3212311163

","0 1
 C    1.524560330022    0.184692472896   -0.506919649427
 C    0.739183184698    0.000000000000    0.540523414330
 C   -0.739183184698    0.000000000000    0.540523414330
 C   -1.524560330022   -0.184692472896   -0.506919649427
 H    2.594646902106    0.146234405780   -0.412649896842
 H    1.136867086595    0.395013117919   -1.487882317954
 H    1.197452343254   -0.175069640252    1.500417943030
 H   -1.197452343254    0.175069640252    1.500417943030
 H   -2.594646902106   -0.146234405780   -0.412649896842
 H   -1.136867086595   -0.395013117919   -1.487882317954
"
5,25,13.73932795321292,-154.91425556326408,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3220421002
    C                 2    1.4779338374      1  126.1273990936
    C                 3    1.3220421002      2  126.1273990936      1   25.0000000000
    H                 1    1.0749945252      2  121.1935945530      3 -178.6110424114
    H                 1    1.0755920907      2  122.2430488367      3    2.4037646504
    H                 2    1.0781545787      1  118.5478655070      3  179.9101103019
    H                 3    1.0781545787      4  118.5478655070      2  179.9101103019
    H                 4    1.0749945252      3  121.1935945530      2 -178.6110424114
    H                 4    1.0755920907      3  122.2430488367      2    2.4037646504

","0 1
 C    1.518420035687    0.231119420216   -0.504388257671
 C    0.738966918723    0.000000000000    0.538124076459
 C   -0.738966918723    0.000000000000    0.538124076459
 C   -1.518420035687   -0.231119420216   -0.504388257671
 H    2.589213178339    0.189381389618   -0.419105131150
 H    1.122598982040    0.484676427729   -1.471824500021
 H    1.200144580876   -0.212379898939    1.489243016416
 H   -1.200144580876    0.212379898939    1.489243016416
 H   -2.589213178339   -0.189381389618   -0.419105131150
 H   -1.122598982040   -0.484676427729   -1.471824500021
"
6,30,13.171081296695569,-154.9144719971486,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3219421497
    C                 2    1.4776056059      1  125.8265903634
    C                 3    1.3219421497      2  125.8265903634      1   30.0000000000
    H                 1    1.0751263124      2  121.2591629787      3 -178.6133094745
    H                 1    1.0756356112      2  122.0990841009      3    2.2797064951
    H                 2    1.0783443587      1  118.6965948132      3 -179.7090154620
    H                 3    1.0783443587      4  118.6965948132      2 -179.7090154620
    H                 4    1.0751263124      3  121.2591629787      2 -178.6133094745
    H                 4    1.0756356112      3  122.0990841009      2    2.2797064951

","0 1
 C    1.512580513125    0.277407548452   -0.500779613611
 C    0.738802802954    0.000000000000    0.534519451616
 C   -0.738802802954    0.000000000000    0.534519451616
 C   -1.512580513125   -0.277407548452   -0.500779613611
 H    2.584074329909    0.233806502590   -0.423990701083
 H    1.108931645344    0.570296834196   -1.453814463964
 H    1.202638234692   -0.247314588818    1.476070694178
 H   -1.202638234692    0.247314588818    1.476070694178
 H   -2.584074329909   -0.233806502590   -0.423990701083
 H   -1.108931645344   -0.570296834196   -1.453814463964
"
7,35,12.807690211699462,-154.91461040560773,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3217580385
    C                 2    1.4774702705      1  125.5315604235
    C                 3    1.3217580385      2  125.5315604235      1   35.0000000000
    H                 1    1.0752037932      2  121.3195506216      3 -178.8065131682
    H                 1    1.0756741786      2  121.9668510500      3    1.9846593670
    H                 2    1.0785137904      1  118.8402037359      3 -179.2340340015
    H                 3    1.0785137904      4  118.8402037359      2 -179.2340340015
    H                 4    1.0752037932      3  121.3195506216      2 -178.8065131682
    H                 4    1.0756741786      3  121.9668510500      2    1.9846593670

","0 1
 C    1.506876550241    0.323451419527   -0.496134660911
 C    0.738735135274    0.000000000000    0.529722180078
 C   -0.738735135274    0.000000000000    0.529722180078
 C   -1.506876550241   -0.323451419527   -0.496134660911
 H    2.579014166806    0.281492975534   -0.426682395735
 H    1.095651789134    0.652332506095   -1.434114599552
 H    1.205156140375   -0.280349264605    1.460876158711
 H   -1.205156140375    0.280349264605    1.460876158711
 H   -2.579014166806   -0.281492975534   -0.426682395735
 H   -1.095651789134   -0.652332506095   -1.434114599552
"
8,40,12.716784677016074,-154.91464502972346,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3215281296
    C                 2    1.4775643855      1  125.2750665181
    C                 3    1.3215281296      2  125.2750665181      1   40.0000000000
    H                 1    1.0752825115      2  121.3739010671      3 -179.0843992730
    H                 1    1.0756959069      2  121.8529117914      3    1.5541801518
    H                 2    1.0786766793      1  118.9662013244      3 -178.6894219084
    H                 3    1.0786766793      4  118.9662013244      2 -178.6894219084
    H                 4    1.0752825115      3  121.3739010671      2 -179.0843992730
    H                 4    1.0756959069      3  121.8529117914      2    1.5541801518

","0 1
 C    1.501967872419    0.368999034795   -0.490283066956
 C    0.738782192729    0.000000000000    0.523533448945
 C   -0.738782192729    0.000000000000    0.523533448945
 C   -1.501967872419   -0.368999034795   -0.490283066956
 H    2.574663144728    0.330215327678   -0.426618663130
 H    1.084147171052    0.731202658212   -1.412972657655
 H    1.207354676478   -0.311937247751    1.443684718844
 H   -1.207354676478    0.311937247751    1.443684718844
 H   -2.574663144728   -0.330215327678   -0.426618663130
 H   -1.084147171052   -0.731202658212   -1.412972657655
"
9,45,12.938047255370028,-154.91456075519446,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3212599841
    C                 2    1.4778918026      1  125.0680183946
    C                 3    1.3212599841      2  125.0680183946      1   45.0000000000
    H                 1    1.0753651566      2  121.4183855791      3 -179.4249552489
    H                 1    1.0757143782      2  121.7623860099      3    1.0333472047
    H                 2    1.0788392066      1  119.0709027393      3 -178.1122971163
    H                 3    1.0788392066      4  119.0709027393      2 -178.1122971163
    H                 4    1.0753651566      3  121.4183855791      2 -179.4249552489
    H                 4    1.0757143782      3  121.7623860099      2    1.0333472047

","0 1
 C    1.498073822333    0.413838603064   -0.483189274053
 C    0.738945901286    0.000000000000    0.515905494099
 C   -0.738945901286    0.000000000000    0.515905494099
 C   -1.498073822333   -0.413838603064   -0.483189274053
 H    2.571220267526    0.379143988289   -0.423496637419
 H    1.074951324211    0.807500265352   -1.390470526310
 H    1.209106613906   -0.342699565734    1.424420736526
 H   -1.209106613906    0.342699565734    1.424420736526
 H   -2.571220267526   -0.379143988289   -0.423496637419
 H   -1.074951324211   -0.807500265352   -1.390470526310
"
10,50,13.482820300916284,-154.91435326194292,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3209562817
    C                 2    1.4784517944      1  124.9141999522
    C                 3    1.3209562817      2  124.9141999522      1   50.0000000000
    H                 1    1.0754477019      2  121.4517141845      3 -179.8041051179
    H                 1    1.0757325941      2  121.6967049974      3    0.4625736191
    H                 2    1.0790000567      1  119.1521476916      3 -177.5397517076
    H                 3    1.0790000567      4  119.1521476916      2 -177.5397517076
    H                 4    1.0754477019      3  121.4517141845      2 -179.8041051179
    H                 4    1.0757325941      3  121.6967049974      2    0.4625736191

","0 1
 C    1.495274061236    0.457779014886   -0.474858200344
 C    0.739225897214    0.000000000000    0.506852065143
 C   -0.739225897214    0.000000000000    0.506852065143
 C   -1.495274061236   -0.457779014886   -0.474858200344
 H    2.568754196273    0.427487698742   -0.417320426580
 H    1.068261500570    0.881736682806   -1.366553654400
 H    1.210392806843   -0.373215332281    1.402928613961
 H   -1.210392806843    0.373215332281    1.402928613961
 H   -2.568754196273   -0.427487698742   -0.417320426580
 H   -1.068261500570   -0.881736682806   -1.366553654400
"
11,55,14.335943336556253,-154.91402832429398,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3206186424
    C                 2    1.4792289345      1  124.8115244267
    C                 3    1.3206186424      2  124.8115244267      1   55.0000000000
    H                 1    1.0755295547      2  121.4742546645      3  179.7988138310
    H                 1    1.0757515292      2  121.6546016034      3   -0.1249505652
    H                 2    1.0791580583      1  119.2097121526      3 -177.0042577494
    H                 3    1.0791580583      4  119.2097121526      2 -177.0042577494
    H                 4    1.0755295547      3  121.4742546645      2  179.7988138310
    H                 4    1.0757515292      3  121.6546016034      2   -0.1249505652

","0 1
 C    1.493527549332    0.500661708454   -0.465327972099
 C    0.739614467268    0.000000000000    0.496434221500
 C   -0.739614467268    0.000000000000    0.496434221500
 C   -1.493527549332   -0.500661708454   -0.465327972099
 H    2.567228536291    0.474610009380   -0.408307602693
 H    1.063991243536    0.954300909876   -1.341085580930
 H    1.211269828483   -0.403945579798    1.379016401065
 H   -1.211269828483    0.403945579798    1.379016401065
 H   -2.567228536291   -0.474610009380   -0.408307602693
 H   -1.063991243536   -0.954300909876   -1.341085580930
"
12,60,15.459625469201939,-154.9136003360495,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3202569273
    C                 2    1.4802024023      1  124.7533157765
    C                 3    1.3202569273      2  124.7533157765      1   60.0000000000
    H                 1    1.0756074086      2  121.4868106182      3  179.4047226083
    H                 1    1.0757744122      2  121.6339175646      3   -0.7036528149
    H                 2    1.0793095804      1  119.2452527251      3 -176.5347332592
    H                 3    1.0793095804      4  119.2452527251      2 -176.5347332592
    H                 4    1.0756074086      3  121.4868106182      2  179.4047226083
    H                 4    1.0757744122      3  121.6339175646      2   -0.7036528149

","0 1
 C   -1.001639754869    1.232499693035   -0.454661849371
 C   -0.242564018889    0.699222771838    0.484751854188
 C    0.242564018889   -0.699222771838    0.484751854188
 C    1.001639754869   -1.232499693035   -0.454661849371
 H   -1.332436583397    2.254342080801   -0.396844117235
 H   -1.316839630112    0.667118543245   -1.313896264455
 H    0.014029201283    1.287563645178    1.352463849302
 H   -0.014029201283   -1.287563645178    1.352463849302
 H    1.332436583397   -2.254342080801   -0.396844117235
 H    1.316839630112   -0.667118543245   -1.313896264455
"
13,65,16.798166584965706,-154.9130905122785,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3198950669
    C                 2    1.4813564517      1  124.7292486102
    C                 3    1.3198950669      2  124.7292486102      1   65.0000000000
    H                 1    1.0756730924      2  121.4906497254      3  179.0401652122
    H                 1    1.0758054217      2  121.6321496561      3   -1.2447835196
    H                 2    1.0794438237      1  119.2619529392      3 -176.1590051638
    H                 3    1.0794438237      4  119.2619529392      2 -176.1590051638
    H                 4    1.0756730924      3  121.4906497254      2  179.0401652122
    H                 4    1.0758054217      3  121.6321496561      2   -1.2447835196

","0 1
 C   -1.067153515236    1.195326576320   -0.442942328934
 C   -0.258516990001    0.694098840296    0.471935102406
 C    0.258516990001   -0.694098840296    0.471935102406
 C    1.067153515236   -1.195326576320   -0.442942328934
 H   -1.423539436588    2.208503671787   -0.383496134363
 H   -1.397097813289    0.612319015356   -1.284723921365
 H    0.014882737682    1.299182605507    1.323008068994
 H   -0.014882737682   -1.299182605507    1.323008068994
 H    1.423539436588   -2.208503671787   -0.383496134363
 H    1.397097813289   -0.612319015356   -1.284723921365
"
14,70,18.282403802701108,-154.91252519575104,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3195564645
    C                 2    1.4826680225      1  124.7266023371
    C                 3    1.3195564645      2  124.7266023371      1   70.0000000000
    H                 1    1.0757215556      2  121.4878239879      3  178.7319565233
    H                 1    1.0758456681      2  121.6456815396      3   -1.7125546951
    H                 2    1.0795473408      1  119.2635061813      3 -175.9046533229
    H                 3    1.0795473408      4  119.2635061813      2 -175.9046533229
    H                 4    1.0757215556      3  121.4878239879      2  178.7319565233
    H                 4    1.0758456681      3  121.6456815396      2   -1.7125546951

","0 1
 C   -1.129623583963    1.157605950230   -0.430259699385
 C   -0.273873266846    0.688890085508    0.458124280653
 C    0.273873266846   -0.688890085508    0.458124280653
 C    1.129623583963   -1.157605950230   -0.430259699385
 H   -1.509455152147    2.162167709705   -0.368936650238
 H   -1.474847451218    0.556705142915   -1.253170753356
 H    0.017157766778    1.311914447564    1.290328608147
 H   -0.017157766778   -1.311914447564    1.290328608147
 H    1.509455152147   -2.162167709705   -0.368936650238
 H    1.474847451218   -0.556705142915   -1.253170753356
"
15,75,19.833166316354983,-154.9119345410574,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.3192615013
    C                 2    1.4841056334      1  124.7312020411
    C                 3    1.3192615013      2  124.7312020411      1   75.0000000000
    H                 1    1.0757474767      2  121.4805846688      3  178.5005859073
    H                 1    1.0758940220      2  121.6706061263      3   -2.0711263988
    H                 2    1.0796060749      1  119.2537213963      3 -175.7987072940
    H                 3    1.0796060749      4  119.2537213963      2 -175.7987072940
    H                 4    1.0757474767      3  121.4805846688      2  178.5005859073
    H                 4    1.0758940220      3  121.6706061263      2   -2.0711263988

","0 1
 C   -1.188851774872    1.119519387508   -0.416705308682
 C   -0.288518745893    0.683666085169    0.443459352709
 C    0.288518745893   -0.683666085169    0.443459352709
 C    1.188851774872   -1.119519387508   -0.416705308682
 H   -1.589776581307    2.115782347027   -0.353839987382
 H   -1.550168567751    0.500086120023   -1.218765499006
 H    0.021090949089    1.326032378807    1.254049667607
 H   -0.021090949089   -1.326032378807    1.254049667607
 H    1.589776581307   -2.115782347027   -0.353839987382
 H    1.550168567751   -0.500086120023   -1.218765499006
"
