Dihedral Angle (deg),Energy (kJ/mol)
0.0,80.99449547531255
10.0,82.01023459630787
20.0,77.22530277482406
30.0,70.98981231969893
40.0,66.2408387092232
50.0,63.50624972793559
60.0,62.57973171039037
70.0,63.53674841593767
80.0,66.27790982687533
90.0,69.80736557037054
100.0,72.32099539968921
110.0,72.1350933703596
120.0,68.48012881951678
130.0,61.57094878127169
140.0,52.30459038389606
150.0,41.83191402565473
160.0,31.20747114669285
170.0,21.24438342024447
180.0,12.568304215945888
190.0,5.752095631839725
200.0,1.384313646779826
210.0,0.0
220.0,1.9091901070045856
230.0,7.008074331354153
240.0,14.652788146859491
250.0,23.668745981302322
260.0,32.538562618200295
270.0,39.784435054342765
280.0,44.466376041392536
290.0,46.540607486789426
300.0,46.81719465900686
310.0,46.6659493543534
320.0,47.90380649244499
330.0,52.588470585091315
340.0,61.67473787981172
350.0,72.90380926852082
360.0,80.99449544531485
