Dihedral Angle (deg),Energy (kJ/mol)
0,25.896960100106917
5,25.51028349185049
10,24.39003104132612
15,22.643222250851775
20,20.422116207028644
25,17.88735338426463
30,15.215370217397357
35,12.576331342542598
40,10.122555750354998
45,7.981474967820843
50,6.254908900920109
55,5.004987539219489
60,4.251715836653309
65,3.9819743304774002
70,4.162345164174296
75,4.75480786946164
80,5.7216212354784295
85,7.014910992341393
90,8.553927133409067
95,10.215728558200219
100,11.84817353654328
105,13.293787591115757
110,14.412217853828416
115,15.094888038410632
120,15.27530724212193
125,14.930646782566674
130,14.08272713886855
135,12.7924486565775
140,11.154709355518879
145,9.286099600234344
150,7.3169487191361515
155,5.3808041707307845
160,3.603914208454334
165,2.0985753994127645
170,0.9556114055510392
175,0.2422327588627205
180,0.0
