Number,Dihedral Angle (deg),Energy (kJ/mol),Energy (Ha),zmatrix,xyz
0,0,25.901961913210517,-157.28852937653284,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5314276922
    C                 2    1.5554890122      1  116.9581516520
    C                 3    1.5312893815      2  116.9522170695      1    0.0003681725
    H                 1    1.0858804004      2  109.8533194470      3  179.0796888472
    H                 1    1.0849283159      2  112.0646578610      3   59.7298833873
    H                 1    1.0851112533      2  112.0363549126      3  -61.5774655255
    H                 2    1.0861851740      3  108.8687140123      1 -122.8209434218
    H                 2    1.0862179599      3  108.8168600099      1  122.6358365693
    H                 3    1.0861852424      4  107.9519222528      2 -123.0815681720
    H                 3    1.0861966803      4  108.0792166062      2  123.2377345906
    H                 4    1.0850254591      3  112.0650663117      2  -61.0573088921
    H                 4    1.0849134979      3  111.9910282126      2   60.2485031724
    H                 4    1.0857878750      3  109.8842140185      2  179.5801859776

","0 1
 C   -0.000015599082    1.012191901279   -1.256787868624
 C   -0.000015599082    1.012191901279    0.274639823584
 C   -0.000015599082   -0.374274372988    0.979804582632
 C   -0.000006828039   -1.611703957402    0.077798377789
 H   -0.016420146261    2.033401392018   -1.625567356702
 H   -0.868397294514    0.505357997301   -1.664344092417
 H    0.884581465290    0.533442330683   -1.663915998776
 H    0.863728505020    1.577846820410    0.611951055703
 H   -0.865848499525    1.575845838356    0.610045673475
 H    0.865781128175   -0.435966008778    1.632788923981
 H   -0.863663826540   -0.435265072839    1.635712428310
 H   -0.879969219735   -1.654441084327   -0.555541952514
 H    0.873372737058   -1.645940111424   -0.564909424363
 H    0.007473658108   -2.511569478952    0.685351992658
"
1,5,25.51423851681134,-157.28867705268692,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5313968103
    C                 2    1.5550855523      1  116.9278228115
    C                 3    1.5312541712      2  116.9247878320      1    5.0000000000
    H                 1    1.0858833306      2  109.8619602150      3  179.2983157348
    H                 1    1.0852514794      2  112.1074251654      3   59.9438173474
    H                 1    1.0848298656      2  111.9718071037      3  -61.3536847797
    H                 2    1.0864576009      3  108.8158962025      1 -122.3654308172
    H                 2    1.0860207717      3  108.8564941802      1  123.0848901179
    H                 3    1.0859643603      4  108.2758878191      2 -123.3917044685
    H                 3    1.0864803657      4  107.7871767606      2  122.8969146636
    H                 4    1.0847411866      3  112.0035974060      2  -60.8417134446
    H                 4    1.0852331554      3  112.0385981513      2   60.4474193184
    H                 4    1.0858070023      3  109.8978144039      2  179.7842061237

","0 1
 C   -0.030682469055    1.011362629928   -1.257162268338
 C   -0.030682469055    1.011362629928    0.274234541964
 C   -0.030682469055   -0.375117004789    0.978482578819
 C    0.088308550480   -1.609255478473    0.079882166033
 H   -0.043189569455    2.032574414551   -1.626096776085
 H   -0.900946145775    0.507777208454   -1.665590511576
 H    0.852210944033    0.529067263375   -1.663051708653
 H    0.837954236204    1.573095524627    0.606373891901
 H   -0.891783437171    1.578375446527    0.615471563735
 H    0.778145202477   -0.401867096076    1.702637826089
 H   -0.943998028523   -0.473780531360    1.558620305836
 H   -0.735708728588   -1.682052276928   -0.621801232571
 H    1.011271146631   -1.609868000304   -0.490968666087
 H    0.080562306173   -2.509981893248    0.686189652128
"
2,10,24.390560023214377,-157.28910503954535,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5312107840
    C                 2    1.5537581003      1  116.8428400037
    C                 3    1.5312064067      2  116.8642171263      1   10.0000000000
    H                 1    1.0858469008      2  109.8903515636      3  179.4514259929
    H                 1    1.0856060581      2  112.0928551353      3   60.0881748447
    H                 1    1.0845880527      2  111.8996869670      3  -61.1854553525
    H                 2    1.0868330483      3  108.7822834964      1 -121.9508945608
    H                 2    1.0859514972      3  108.9029079837      1  123.4701108390
    H                 3    1.0858447676      4  108.6021626337      2 -123.6461521155
    H                 3    1.0868216531      4  107.5450026465      2  122.5773357525
    H                 4    1.0845605874      3  111.9357341893      2  -60.7809906032
    H                 4    1.0856386934      3  112.0966623517      2   60.5058690994
    H                 4    1.0857494478      3  109.8913251989      2  179.8571749208

","0 1
 C   -0.061139984694    1.008916293367   -1.258422476487
 C   -0.061139984694    1.008916293367    0.272788307477
 C   -0.061139984694   -0.377421960587    0.974379698479
 C    0.176056216118   -1.602205705337    0.086553251066
 H   -0.070916002269    2.029940666813   -1.627850616127
 H   -0.933044466192    0.507309499296   -1.666728382280
 H    0.820583896121    0.523892972508   -1.662955071274
 H    0.811932847641    1.567015186625    0.600622914790
 H   -0.918157428574    1.578666320894    0.619482208889
 H    0.684159621339   -0.372458412460    1.764039574538
 H   -1.015631217959   -0.515823719305    1.475351498609
 H   -0.587340758264   -1.702918057553   -0.677222730055
 H    1.140417940474   -1.565540378270   -0.410712765360
 H    0.155674334085   -2.504983525435    0.689403688500
"
3,15,22.640891014246936,-157.28977145377922,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5309497434
    C                 2    1.5517899642      1  116.6936777486
    C                 3    1.5310337719      2  116.7816494748      1   15.0000000000
    H                 1    1.0857394977      2  109.9607823581      3  179.5129882421
    H                 1    1.0859832396      2  112.0551759404      3   60.1289276388
    H                 1    1.0843563273      2  111.8308787664      3  -61.0850343677
    H                 2    1.0871963382      3  108.7614315833      1 -121.5842651862
    H                 2    1.0859134035      3  108.9314702231      1  123.8035029079
    H                 3    1.0858151124      4  108.9108734151      2 -123.8345510782
    H                 3    1.0871777074      4  107.3620973693      2  122.2975465049
    H                 4    1.0843817162      3  111.8816542418      2  -60.9461862174
    H                 4    1.0860425548      3  112.1427448963      2   60.3391028933
    H                 4    1.0857061909      3  109.8790951508      2  179.7057139103

","0 1
 C   -0.091184395842    1.005062163094   -1.260593984198
 C   -0.091184395842    1.005062163094    0.270355759203
 C   -0.091184395842   -0.381339520497    0.967451494991
 C    0.262569488545   -1.590757888797    0.097836746784
 H   -0.099858629535    2.025540629562   -1.631240330444
 H   -0.963981224468    0.503767922888   -1.668379929749
 H    0.789924367662    0.518363671659   -1.663831593952
 H    0.785756301582    1.559671730227    0.594977260320
 H   -0.944714616661    1.576537162110    0.622648829796
 H    0.584978337353   -0.348498143276    1.816403708361
 H   -1.078020654217   -0.560846723471    1.386840015009
 H   -0.436724206073   -1.718062407150   -0.721105006174
 H    1.259555880706   -1.512769257184   -0.325748354519
 H    0.233865465715   -2.496484570107    0.695827708986
"
4,20,20.416293398058382,-157.29061875890292,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5307088904
    C                 2    1.5493972548      1  116.5162987746
    C                 3    1.5307561390      2  116.6035035897      1   20.0000000000
    H                 1    1.0857307808      2  110.0276265024      3  179.3573007953
    H                 1    1.0863410637      2  112.0194672409      3   59.9333332490
    H                 1    1.0842075859      2  111.7728236889      3  -61.2081340377
    H                 2    1.0875821735      3  108.7233817574      1 -121.3394698245
    H                 2    1.0859528188      3  108.9052051601      1  124.0192810434
    H                 3    1.0858603764      4  109.1706794953      2 -123.8871640598
    H                 3    1.0875571339      4  107.3052257156      2  122.0736947670
    H                 4    1.0842622535      3  111.8324271607      2  -61.3305549956
    H                 4    1.0863926810      3  112.1044223740      2   59.8840901135
    H                 4    1.0856904494      3  109.9440533380      2  179.2785506219

","0 1
 C   -0.120706939124    0.999505117879   -1.263996587017
 C   -0.120706939124    0.999505117879    0.266712303359
 C   -0.120706939124   -0.386907006140    0.958444386947
 C    0.347412669812   -1.574495664016    0.113629869793
 H   -0.132149091178    2.019514975776   -1.635830280072
 H   -0.992294251446    0.494940853336   -1.671289315314
 H    0.761682022536    0.514570797509   -1.666158885744
 H    0.759039569079    1.551069878494    0.590220232532
 H   -0.972243635032    1.570959695452    0.623949543703
 H    0.482739289640   -0.330349321204    1.859414216837
 H   -1.130867800634   -0.607816931265    1.295422662708
 H   -0.285161269633   -1.726560128910   -0.753751963129
 H    1.367944140123   -1.449524251577   -0.237292801933
 H    0.316438419749   -2.484592408387    0.704805193822
"
5,25,17.882044635344204,-157.2915840040087,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5304181359
    C                 2    1.5466687508      1  116.2926098600
    C                 3    1.5303791963      2  116.3000615188      1   25.0000000000
    H                 1    1.0858229382      2  110.0955508820      3  178.7664150680
    H                 1    1.0866073604      2  112.0003862044      3   59.2826122500
    H                 1    1.0841783231      2  111.7255353549      3  -61.7760595930
    H                 2    1.0879300982      3  108.6943589041      1 -121.2284337665
    H                 2    1.0860360426      3  108.8351215969      1  124.0558516459
    H                 3    1.0859572082      4  109.3795810588      2 -123.7664650220
    H                 3    1.0878383256      4  107.3821992250      2  121.9352135098
    H                 4    1.0841902717      3  111.7552506059      2  -61.9527340262
    H                 4    1.0865782342      3  111.9640057144      2   59.0920306516
    H                 4    1.0858150995      3  110.1354193899      2  178.5538927212

","0 1
 C   -0.149590560695    0.992217796190   -1.268099128574
 C   -0.149590560695    0.992217796190    0.262319007360
 C   -0.149590560695   -0.394438129179    0.947424524239
 C    0.430226249733   -1.553136312215    0.132997442529
 H   -0.171543536785    2.011700514981   -1.641173526037
 H   -1.015720160682    0.477592095971   -1.675156201216
 H    0.737829928474    0.515909592305   -1.669419457699
 H    0.731625421725    1.541508137862    0.586865477865
 H   -1.001181399688    1.561537331364    0.623071825407
 H    0.379093408036   -0.318543255396    1.892959445569
 H   -1.174031438690   -0.657002531501    1.202322630867
 H   -0.134312377352   -1.727422161309   -0.776062031148
 H    1.464731090094   -1.375020950765   -0.147585722242
 H    0.404326350732   -2.469158183304    0.715429891127
"
6,30,15.21409183406622,-157.29260017433177,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5301624086
    C                 2    1.5438657440      1  116.0453336963
    C                 3    1.5301341780      2  116.0418518886      1   30.0000000000
    H                 1    1.0858226765      2  110.1885703237      3  177.9742874000
    H                 1    1.0868349597      2  111.9207269141      3   58.4396965266
    H                 1    1.0841598357      2  111.6863689287      3  -62.5309653578
    H                 2    1.0882246952      3  108.7144075833      1 -121.2218149848
    H                 2    1.0862124095      3  108.7758482076      1  123.9883940578
    H                 3    1.0861184749      4  109.5099478429      2 -123.5937690203
    H                 3    1.0881094773      4  107.5162087633      2  121.8801567262
    H                 4    1.0841779644      3  111.7262361646      2  -62.7520899978
    H                 4    1.0868099211      3  111.8660821917      2   58.1982318471
    H                 4    1.0858117728      3  110.2513745768      2  177.7067582248

","0 1
 C   -0.177391982113    0.984138033818   -1.274393456440
 C   -0.177391982113    0.984138033818    0.255768952197
 C   -0.177391982113   -0.402943382560    0.933652850644
 C    0.510000597220   -1.529264747390    0.158925655001
 H   -0.213415534404    2.002612933935   -1.649122780520
 H   -1.036518446057    0.456420071694   -1.680134384941
 H    0.716454898649    0.519444613225   -1.675018378203
 H    0.704019925793    1.532422495880    0.582464811418
 H   -1.030098683626    1.550680277904    0.618782127338
 H    0.273834205616   -0.311409367579    1.917354936177
 H   -1.207896303387   -0.706219503448    1.107050292542
 H    0.016076549649   -1.726010388391   -0.785940497725
 H    1.550875315685   -1.298692428116   -0.052195236245
 H    0.490706154995   -2.448703460029    0.736201485132
"
7,35,12.573758797018208,-157.29360582483426,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5298655397
    C                 2    1.5411236733      1  115.7504460109
    C                 3    1.5298407842      2  115.7391141029      1   35.0000000000
    H                 1    1.0857388746      2  110.2999339776      3  176.9862180395
    H                 1    1.0870131156      2  111.8360515801      3   57.4043303472
    H                 1    1.0841689395      2  111.6872536044      3  -63.4833557327
    H                 2    1.0883842257      3  108.7585678553      1 -121.2957088713
    H                 2    1.0863769078      3  108.7259661088      1  123.8074816357
    H                 3    1.0862461096      4  109.5824040281      2 -123.3428176020
    H                 3    1.0883246430      4  107.7037267085      2  121.8919636574
    H                 4    1.0841657203      3  111.6964467302      2  -63.6386429338
    H                 4    1.0869571373      3  111.7550035900      2   57.2143463472
    H                 4    1.0858170091      3  110.3629582744      2  176.7771247214

","0 1
 C   -0.204024369792    0.975022950268   -1.281872589117
 C   -0.204024369792    0.975022950268    0.247992950599
 C   -0.204024369792   -0.413059216876    0.917537626866
 C    0.586393299394   -1.501878335823    0.189440339692
 H   -0.257562832304    1.991917463162   -1.658552939609
 H   -1.054118513858    0.431455586388   -1.686189272692
 H    0.697425001973    0.525249860725   -1.682516430168
 H    0.676596634900    1.522847313775    0.578107075804
 H   -1.058924130730    1.537870540172    0.612086036242
 H    0.168098414723   -0.310345272604    1.932872591033
 H   -1.232537089800   -0.756621828233    1.010148886136
 H    0.165522237017   -1.718284729021   -0.785983225197
 H    1.625943573927   -1.218076186941    0.047076772305
 H    0.575321802194   -2.424041830413    0.762581237257
"
8,40,10.118681582613593,-157.29454091506707,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5297683777
    C                 2    1.5386896135      1  115.4868284310
    C                 3    1.5297318485      2  115.4722456551      1   40.0000000000
    H                 1    1.0857367975      2  110.4027900406      3  176.1409810208
    H                 1    1.0871348170      2  111.7185746674      3   56.5259922985
    H                 1    1.0842223600      2  111.6883656182      3  -64.2763745566
    H                 2    1.0885215944      3  108.8143721745      1 -121.4720037784
    H                 2    1.0865941651      3  108.6586237956      1  123.5434793360
    H                 3    1.0864848109      4  109.5695614816      2 -123.0509197230
    H                 3    1.0884692632      4  107.9528565156      2  121.9660370608
    H                 4    1.0842278491      3  111.7073994260      2  -64.4077896570
    H                 4    1.0870870631      3  111.6359005234      2   56.3639549543
    H                 4    1.0858084574      3  110.4705042874      2  175.9596950718

","0 1
 C   -0.229172809758    0.965253329567   -1.292493595081
 C   -0.229172809758    0.965253329567    0.237274782661
 C   -0.229172809758   -0.423697518676    0.899378451240
 C    0.658537645217   -1.472803331673    0.227495522819
 H   -0.297660550863    1.980569159273   -1.671000647442
 H   -1.071618599008    0.408200065837   -1.694785608185
 H    0.678452949181    0.527981523217   -1.693176730467
 H    0.649616578684    1.513616331569    0.571799057245
 H   -1.087213877574    1.523839321152    0.601189739079
 H    0.062618057999   -0.312627968666    1.940037323701
 H   -1.248349603015   -0.805611062514    0.913018318199
 H    0.315582640693   -1.706195707344   -0.774232929748
 H    1.690351337018   -1.138191360286    0.155706827564
 H    0.653290297714   -2.396481641608    0.798258916252
"
9,45,7.97787782685131,-157.29535630477076,"    units Angstrom
    0 1
    --
    0 1
    C           
    C                 1    1.5296567111
    C                 2    1.5365528762      1  115.2386447520
    C                 3    1.5296457461      2  115.2291878515      1   45.0000000000
    H                 1    1.0857247690      2  110.5010556898      3  175.4657284722
    H                 1    1.0871894859      2  111.5900841531      3   55.8300835639
    H                 1    1.0843156887      2  111.7170575306      3  -64.8980678238
    H                 2    1.0885912884      3  108.8855172381      1 -121.7186978684
    H                 2    1.0868017964      3  108.5988576361      1  123.2138872010
    H                 3    1.0866949971      4  109.4883278263      2 -122.7253736277
    H                 3    1.0885378969      4  108.2361378225      2  122.0989161066
    H                 4    1.0843235382      3  111.7420768507      2  -65.0059597147
    H                 4    1.0871451566      3  111.5128837044      2   55.7004528796
    H                 4    1.0857946805      3  110.5590846608      2  175.3143923456

","0 1
 C   -0.252617736341    0.954861210794   -1.305629237514
 C   -0.252617736341    0.954861210794    0.224027473576
 C   -0.252617736341   -0.435011817506    0.879197456635
 C    0.725829172547   -1.441967960594    0.272157852500
 H   -0.333013998587    1.968639541361   -1.685876803459
 H   -1.089022032543    0.387083197649   -1.705675433942
 H    0.659595861479    0.527511623595   -1.706851364375
 H    0.623531997341    1.504475581054    0.563610572904
 H   -1.114384499819    1.508975922547    0.586592055753
 H   -0.042032209529   -0.318507752611    1.938908056482
 H   -1.255390511879   -0.853762684731    0.815879016930
 H    0.465526511748   -1.688085589847   -0.751280554491
 H    1.743427775448   -1.059375852102    0.273134280709
 H    0.723065822374   -2.366815033510    0.841016660884
"
