# Data presented in Remick, K; Helmann, J.D., ``The Elements of Life: A Biocentric Tour of the Periodic Table.'' Adv. Microb. Physiol., 2023, 82, 1–127. https://doi.org/10.1016/bs.ampbs.2022.11.001. Subscription access. Open access available at https://pmc.ncbi.nlm.nih.gov/articles/PMC10727122/.
#
# data from "Abundance of Elements in the Earth's Crust and in the Sea," in *CRC Handbook of Chemistry and Physics, 106th Edition*, **2025**, John R. Rumble, ed., CRC Press/Taylor & Francis, Boca Raton, FL. 
# https://hbcp-chemnetbase-com.proxy.library.upei.ca/documents/01_05/01_05_0001.xhtml?dswid=9747
#
#
record,     name,           symbol,       number,      "CAS Reg. No.",      "crust mg kg-1",    "sea mg kg-1"
1,          Actinium,          Ac,          89,          7440-34-8,          5.5E-10,          
2,          Aluminum,          Al,          13,          7429-90-5,          82300,          0.002
3,          Antimony,          Sb,          51,          7440-36-0,          0.2,          0.00024
4,          Argon,             Ar,          18,          7440-37-1,          3.5,          0.45
5,          Arsenic,           As,          33,          7440-38-2,          1.8,          0.0037
6,          Barium,            Ba,          56,          7440-39-3,          425,          0.013
7,          Beryllium,         Be,           4,          7440-41-7,          2.8,          5.6E-6
8,          Bismuth,           Bi,          83,          7440-69-9,          0.0085,          2E-5
9,          Boron,             B,            5,          7440-42-8,          10,          4.44
10,         Bromine,           Br,          35,          7726-95-6,          2.4,          67.3
11,         Cadmium,           Cd,          48,          7440-43-9,          0.15,          0.00011
12,         Calcium,           Ca,          20,          7440-70-2,          41500,          412
13,         Carbon,            C,            6,          7440-44-0,          200,          28
14,         Cerium,            Ce,          58,          7440-45-1,          66.5,          1.2E-6
15,         Cesium,            Cs,          55,          7440-46-2,          3,          0.0003
16,         Chlorine,          Cl,          17,          7782-50-5,          145,          19400
17,         Chromium,          Cr,          24,          7440-47-3,          102,          0.0003
18,         Cobalt,            Co,          27,          7440-48-4,          25,          2E-5
19,         Copper,            Cu,          29,          7440-50-8,          60,          0.00025
20,         Dysprosium,        Dy,          66,          7429-91-6,          5.2,          9.1E-7
21,         Erbium,            Er,          68,          7440-52-0,          3.5,          8.7E-7
22,         Europium,          Eu,          63,          7440-53-1,          2,          1.3E-7
23,         Fluorine,          F,            9,          7782-41-4,          585,          1.3
24,         Gadolinium,        Gd,          64,          7440-54-2,          6.2,          7E-7
25,         Gallium,           Ga,          31,          7440-55-3,          19,          3E-5
26,         Germanium,         Ge,          32,          7440-56-4,          1.5,          5E-5
27,         Gold,              Au,          79,          7440-57-5,          0.004,          4E-6
28,         Hafnium,           Hf,          72,          7440-58-6,          3,          7E-6
29,         Helium,            He,           2,          7440-59-7,          0.008,          7E-6
30,         Holmium,           Ho,          67,          7440-60-0,          1.3,          2.2E-7
31,         Hydrogen,          H,            1,          1333-74-0,          1400,          108000
32,         Indium,            In,          49,          7440-74-6,          0.25,          0.02
33,         Iodine,            I,           53,          7553-56-2,          0.45,          0.06
34,         Iridium,           Ir,          77,          7439-88-5,          0.001,          
35,         Iron,              Fe,          26,          7439-89-6,          56300,          0.002
36,         Krypton,           Kr,          36,          7439-90-9,          0.0001,          0.00021
37,         Lanthanum,         La,          57,          7439-91-0,          39,          3.4E-6
