Element,C1,C2,C3,C4,C5,C6,U1,U2
01 H hydrogen,1.40×10−3,,1.520×10−3,,,,,
02 He helium,8×10−9,,,,,,,
03 Li lithium,2.0×10−5,2.0×10−5,1.8×10−5,1.3×10−5,1.37×10−5,,2.0×10−5,2.2×10−5
04 Be beryllium,2.8×10−6,2.0×10−6,2×10−6,1.500×10−6,,,3.000×10−6,
05 B boron,1.0×10−5,7.0×10−6,9×10−6,1.0000×10−5,,,1.5000×10−5,
06 C carbon,2.00×10−4,,1.80×10−4,,3.76×10−3,,,
07 N nitrogen,1.9×10−5,2.0×10−5,1.9×10−5,,,,,
08 O oxygen,4.61×10−1,3.7×10−1,4.55000×10−1,,,,,
09 F fluorine,5.85×10−4,4.6×10−4,5.44×10−4,,5.25×10−4,,,
10 Ne neon,5×10−9,,,,,,,
11 Na sodium,2.36×10−2,2.3×10−2,2.2700×10−2,2.3000×10−2,2.4400×10−2,3.1000×10−2,2.89×10−2,2.57×10−2
12 Mg magnesium,2.33×10−2,2.8×10−2,2.7640×10−2,3.20×10−2,2.37×10−2,1.69×10−2,1.33×10−2,1.35×10−2
13 Al aluminium,8.23×10−2,8.0×10−2,8.3000×10−2,8.4100×10−2,8.3050×10−2,8.5200×10−2,8.0400×10−2,7.7400×10−2
14 Si silicon,2.82×10−1,2.7×10−1,2.72000×10−1,2.677×10−1,2.81×10−1,2.95×10−1,3.08×10−1,3.04×10−1
15 P phosphorus,1.05×10−3,1.0×10−3,1.120×10−3,,7.63×10−4,8.30×10−4,,
16 S sulfur,3.50×10−4,3.0×10−4,3.40×10−4,,8.81×10−4,,,
17 Cl chlorine,1.45×10−4,1.9×10−4,1.26×10−4,,1.900×10−3,,,
18 Ar argon,3.5×10−6,,,,,,,
19 K potassium,2.09×10−2,1.7×10−2,1.8400×10−2,9.100×10−3,1.7600×10−2,1.7000×10−2,2.8000×10−2,2.5700×10−2
20 Ca calcium,4.15×10−2,5.1×10−2,4.6600×10−2,5.2900×10−2,4.9200×10−2,3.4000×10−2,3.0000×10−2,2.9500×10−2
21 Sc scandium,2.2×10−5,2.2×10−5,2.5×10−5,3.0×10−5,2.14×10−5,,1.1×10−5,7×10−6
22 Ti titanium,5.65×10−3,8.6×10−3,6.320×10−3,5.400×10−3,5.250×10−3,3.600×10−3,3.000×10−3,3.120×10−3
23 V vanadium,1.20×10−4,1.7×10−4,1.36×10−4,2.30×10−4,1.34×10−4,,6.0×10−5,5.3×10−5
24 Cr chromium,1.02×10−4,9.6×10−5,1.22×10−4,1.85×10−4,1.46×10−4,5.6×10−5,3.5×10−5,3.5×10−5
25 Mn manganese,9.50×10−4,1.0×10−3,1.060×10−3,1.400×10−3,8.47×10−4,1.000×10−3,6.00×10−4,5.27×10−4
26 Fe iron,5.63×10−2,5.8×10−2,6.2000×10−2,7.07×10−2,4.92×10−2,3.8×10−2,3.50×10−2,3.09×10−2
27 Co cobalt,2.5×10−5,2.8×10−5,2.9×10−5,2.9×10−5,2.54×10−5,,1.0×10−5,1.2×10−5
28 Ni nickel,8.4×10−5,7.2×10−5,9.9×10−5,1.05×10−4,6.95×10−5,3.5×10−5,2×10−5,1.9×10−5
29 Cu copper,6.0×10−5,5.8×10−5,6.8×10−5,7.5×10−5,4.7×10−5,,2.5×10−5,1.4×10−5
